City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Pyu,MM,2020-02-23 02:11:56,18.48,96.43,89.6,26,17,1.74
70,Punta Arenas,CL,2020-02-23 02:11:06,-53.15,-70.92,51.8,71,20,25.28
71,Barranca,PE,2020-02-23 02:09:42,-10.75,-77.77,73.04,86,97,7.4
72,Pimentel,PE,2020-02-23 02:11:57,-6.84,-79.93,66.2,29,75,11.41
73,Umm Lajj,SA,2020-02-23 02:11:57,25.02,37.27,57.76,50,44,6.24
74,Busselton,AU,2020-02-23 02:10:23,-33.65,115.33,84.99,34,99,10.38
75,Cape Town,ZA,2020-02-23 02:11:58,-33.93,18.42,64.99,70,0,1.99
76,Kaitangata,NZ,2020-02-23 02:11:58,-46.28,169.85,63.0,58,94,8.01
77,Tabou,CI,2020-02-23 02:11:58,4.42,-7.35,77.67,96,51,3.18
78,Yulara,AU,2020-02-23 02:11:59,-25.24,130.99,87.8,9,0,13.87
79,Olafsvik,IS,2020-02-23 02:11:59,64.89,-23.71,30.76,76,94,7.76
80,Aklavik,CA,2020-02-23 02:08:03,68.22,-135.01,-0.4,77,90,4.7
81,Airai,TL,2020-02-23 02:08:46,-8.93,125.41,83.41,54,0,3.94
82,Ube,JP,2020-02-23 02:11:59,33.94,131.25,50.0,43,20,10.29
83,Pleasanton,US,2020-02-23 02:12:00,37.66,-121.87,57.2,71,40,12.75
84,Albany,US,2020-02-23 02:10:26,42.6,-73.97,30.99,68,1,4.7
85,Comodoro Rivadavia,AR,2020-02-23 02:10:40,-45.87,-67.5,77.0,44,38,3.36
86,Ujjain,IN,2020-02-23 02:12:01,23.18,75.77,60.8,77,0,4.7
87,Provost,CA,2020-02-23 02:12:01,52.35,-110.27,23.14,80,0,11.59
88,Raudeberg,NO,2020-02-23 02:12:01,61.99,5.14,41.0,65,94,24.16
89,Tuktoyaktuk,CA,2020-02-23 02:12:01,69.45,-133.04,3.2,77,90,3.36
90,Kapaa,US,2020-02-23 02:09:28,22.08,-159.32,78.8,61,75,6.93
91,Estevan,CA,2020-02-23 02:12:02,49.13,-102.98,35.6,69,1,14.99
92,Hilo,US,2020-02-23 02:12:02,19.73,-155.09,80.6,51,1,16.11
93,Karatau,KZ,2020-02-23 02:12:02,43.17,70.47,29.61,95,100,4.0
94,Lasem,ID,2020-02-23 02:12:02,-6.69,111.45,82.62,77,74,14.0
95,Saint-Philippe,RE,2020-02-23 02:12:03,-21.36,55.77,75.2,60,100,8.05
96,Hofn,IS,2020-02-23 02:12:03,64.25,-15.21,30.97,94,100,3.62
97,Sisimiut,GL,2020-02-23 02:12:03,66.94,-53.67,-5.01,65,89,7.02
98,Upernavik,GL,2020-02-23 02:12:03,72.79,-56.15,-13.61,91,42,2.84
99,Sao Filipe,CV,2020-02-23 02:12:03,14.9,-24.5,68.05,80,100,12.15
100,Bambous Virieux,MU,2020-02-23 02:12:04,-20.34,57.76,75.2,100,40,2.24
101,Palma,ES,2020-02-23 02:11:20,39.57,2.65,51.01,87,2,3.36
102,Khatanga,RU,2020-02-23 02:08:55,71.97,102.5,11.23,78,100,16.13
103,Kavaratti,IN,2020-02-23 02:12:04,10.57,72.64,81.93,74,95,5.82
104,Salalah,OM,2020-02-23 02:10:41,17.02,54.09,71.6,78,20,3.36
105,Grand Gaube,MU,2020-02-23 02:12:05,-20.01,57.66,75.2,100,40,2.24
106,Maraba,BR,2020-02-23 02:12:05,-5.37,-49.12,78.8,94,43,3.36
107,Nyurba,RU,2020-02-23 02:09:26,63.28,118.33,0.57,92,94,1.95
108,Plettenberg Bay,ZA,2020-02-23 02:12:05,-34.05,23.37,61.68,76,73,7.72
109,Vaini,TO,2020-02-23 02:12:06,-21.2,-175.2,84.2,83,75,11.41
